Entity,Code,Year,February,September
Antarctica,ATA,1979,3.141,18.196
Antarctica,ATA,1980,2.818,18.817
Antarctica,ATA,1981,2.873,18.597
Antarctica,ATA,1982,3.129,18.353
Antarctica,ATA,1983,3.07,18.585
Antarctica,ATA,1984,2.677,18.171
Antarctica,ATA,1985,2.836,18.703
Antarctica,ATA,1986,3.193,17.683
Antarctica,ATA,1987,3.254,18.246
Antarctica,ATA,1988,2.886,18.307
Antarctica,ATA,1989,2.978,18.121
Antarctica,ATA,1990,3.036,18.193
Antarctica,ATA,1991,3.161,18.313
Antarctica,ATA,1992,2.837,18.147
Antarctica,ATA,1993,2.482,18.543
Antarctica,ATA,1994,3.197,18.613
Antarctica,ATA,1995,3.561,18.373
Antarctica,ATA,1996,2.985,18.632
Antarctica,ATA,1997,2.49,18.596
Antarctica,ATA,1998,2.989,18.903
Antarctica,ATA,1999,2.966,18.696
Antarctica,ATA,2000,2.907,18.888
Antarctica,ATA,2001,3.65,18.175
Antarctica,ATA,2002,2.96,17.887
Antarctica,ATA,2003,3.789,18.298
Antarctica,ATA,2004,3.584,18.919
Antarctica,ATA,2005,2.97,18.805
Antarctica,ATA,2006,2.651,19.094
Antarctica,ATA,2007,2.905,18.861
Antarctica,ATA,2008,3.895,18.145
Antarctica,ATA,2009,2.991,18.96
Antarctica,ATA,2010,3.106,18.799
Antarctica,ATA,2011,2.519,18.739
Antarctica,ATA,2012,3.553,19.208
Antarctica,ATA,2013,3.836,19.389
Antarctica,ATA,2014,3.843,19.756
Antarctica,ATA,2015,3.799,18.444
Antarctica,ATA,2016,2.79,18.15
Antarctica,ATA,2017,2.288,17.906
Antarctica,ATA,2018,2.326,17.961
Antarctica,ATA,2019,2.655,18.335
Antarctica,ATA,2020,2.92,18.838
Antarctica,ATA,2021,2.892,18.509
Antarctica,ATA,2022,2.213,18.062
Antarctica,ATA,2023,1.978,16.891
Antarctica,ATA,2024,2.187,17.154
Antarctica,ATA,2025,2.218,17.636
